iter	Passed	Remaining
0	1	181
1	3	178
2	5	173
3	7	170
4	9	175
5	11	174
6	13	176
7	15	175
8	17	171
9	18	170
10	20	168
11	23	169
12	24	166
13	26	163
14	28	162
15	30	158
16	31	155
17	33	153
18	35	151
19	37	149
20	38	146
21	40	144
22	42	142
23	44	141
24	46	138
25	48	136
26	49	134
27	51	133
28	53	131
29	55	129
30	57	127
31	59	126
32	61	124
33	63	122
34	65	121
35	67	119
36	69	117
37	70	115
38	72	113
39	74	111
40	76	109
41	77	106
42	78	104
43	80	102
44	82	100
45	84	99
46	86	97
47	88	95
48	89	93
49	91	91
50	93	89
51	95	88
52	97	86
53	99	84
54	100	82
55	102	80
56	104	78
57	105	76
58	107	74
59	109	72
60	111	71
61	113	69
62	114	67
63	116	65
64	118	63
65	120	61
66	121	60
67	123	58
68	125	56
69	127	54
70	129	52
71	130	50
72	132	49
73	134	47
74	136	45
75	138	43
76	140	41
77	141	40
78	143	38
79	145	36
80	146	34
81	148	32
82	150	30
83	152	28
84	153	27
85	155	25
86	156	23
87	158	21
88	160	19
89	162	18
90	163	16
91	165	14
92	167	12
93	169	10
94	170	8
95	172	7
96	174	5
97	175	3
98	177	1
99	179	0
